02:43:28: 9170409 20136 2b:2e:8e:6b:f4:1a c00f01013cfef152f8ee80128400343000
02:43:28: 9170409 20137 de:58:41:f0:15:7c cc03000100
02:43:28: 9170409 20138 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:43:28: 9170409 20139 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:43:28: 9170409 20140 de:58:41:f0:15:7c cc03000100
02:43:28: 9170409 20141 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:43:28: 9170409 20142 de:58:41:f0:15:7c cc03000100
02:43:28: 9170409 20143 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:43:28: 9170409 20144 de:58:41:f0:15:7c cc03000100
02:43:28: 9170409 20145 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:43:28: 9170409 20146 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:43:28: 9170409 20147 de:58:41:f0:15:7c cc03000100
02:43:28: 9170409 20148 2c:bf:b7:3d:c8:54 c00f010148ac5e1379e3a8169c00353300
02:43:28: 9170409 20149 f6:ef:ab:77:d9:c3 cc03000100
02:43:28: 9170409 20150 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:43:30: 9170409 20184 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:43:30: 9170409 20185 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:43:30: 9170409 20186 61:ac:09:81:bd:ac 0f11015541eec27ab66a66b1012ed2ba5010f3
02:43:30: 9170409 20187 de:58:41:f0:15:7c cc03000100
02:43:30: 9170409 20188 de:58:41:f0:15:7c cc03000100
02:43:30: 9170409 20189 f6:ef:ab:77:d9:c3 e200e911004f0f444f58f44882d1460607d06543b0
02:43:30: 9170409 20190 de:58:41:f0:15:7c cc03000100
02:43:30: 9170409 20191 1f:14:14:f5:04:21 c01301015a2ddce4b86aa8039e0036310000000102
02:43:30: 9170409 20192 f6:ef:ab:77:d9:c3 e200e911004f0f444f58f44882d1460607d06543b0
02:43:30: 9170409 20193 ec:c2:e6:44:1c:88 cc03000100
02:43:30: 9170409 20205 2f:fa:0d:03:dd:af c00f01013c7def0678eac053cc00333000
02:43:30: 9170409 20206 08:1f:5d:18:9d:64 c013010148cef0f559e3ee525a0036310000000102
02:43:30: 9170409 20207 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:43:31: 9170409 20208 de:58:41:f0:15:7c cc03000100
02:43:31: 9170409 20209 21:8b:53:ed:2f:1a c01301015a2f50d379e2ae42d60036310000000102
02:43:31: 9170409 20210 f6:ef:ab:77:d9:c3 e200e911004f0f444f58f44882d1460607d06543b0
02:43:31: 9170409 20211 ec:c2:e6:44:1c:88 cc03000100
02:43:31: 9170409 20212 1f:1a:1d:91:78:1c c00f010132991c41b9e388475000343000
02:43:31: 9170409 20213 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:43:31: 9170409 20214 de:58:41:f0:15:7c cc03000100
02:43:31: 9170409 20215 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:43:31: 9170409 20216 de:58:41:f0:15:7c cc03000100
02:43:31: 9170409 20217 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:43:31: 9170409 20218 de:58:41:f0:15:7c cc03000100
02:43:31: 9170409 20219 f6:ef:ab:77:d9:c3 cc03000100
02:43:31: 9170409 20220 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
