03:07:30: 6493638 27970 3b:28:b4:f2:b2:7e c00f01013cfff312b86a84028e00343000
03:07:31: 6493638 27972 0e:ab:24:f6:6a:a6 c00f0101239b5c01b96f8c571800343000
03:07:31: 6493638 27973 22:b7:52:6c:4b:d4 c00f01013c1e91f33962ca534a00333000
03:07:31: 6493638 27975 04:90:1f:c4:cc:da c00f010148af5e13396fa816d400353300
03:07:32: 6493638 27977 22:b7:52:6c:4b:d4 c00f01013c1e91f33962ca534a00333000
03:07:32: 6493638 27979 04:90:1f:c4:cc:da c00f010148af5e13396fa816d400353300
03:07:33: 6493638 27981 22:b7:52:6c:4b:d4 c00f01013c1e91f33962ca534a00333000
03:07:34: 6493638 27984 0e:ab:24:f6:6a:a6 c00f0101239b5c01b96f8c571800343000
03:07:34: 6493638 27986 04:90:1f:c4:cc:da c00f010148af5e13396fa816d400353300
03:07:34: 6493638 27987 29:9d:fa:b0:15:1e c00c01013c99961518eeee071800
