02:00:07: 87 3e:36:5a:c8:a6:99 c00f0101329b14c119eaee52d800353300
02:00:07: 88 23:c5:e8:c7:63:cc c00f01015a0e144658eeea169000353300
02:00:07: 89 26:b3:49:94:9d:b8 c00f01015a2d5e13b963ac069400353300
5add11c579ebc403de00343000
02:00:07: 91 42:e1:0e:89:41:09 0f1101f1d724a2f9606261a4a32490b7d4d5ea
02:00:07: 92 42:e6:b4:c5:35:33 0f1101f351a7144d886a248cf52098950dc327
02:00:08: 93 10:de:30:4d:0c:78 c00f01013c9fa45699628a065e00333000
02:00:08: 94 42:e1:0e:89:41:09 0f1101f1d724a2f9606261a4a32490b7d4d5ea
02:00:08: 95 42:e6:b4:c5:35:33 0f1101f351a7144d886a248cf52098950dc327
02:00:08: 96 42:e1:0e:89:41:09 0f1101f1d724a2f9606261a4a32490b7d4d5ea
02:00:08: 97 1b:1a:44:09:c7:01 c00f01013c9b55f3b96fcc431200343000
02:00:08: 98 42:e1:0e:89:41:09 0f1101f1d724a2f9606261a4a32490b7d4d5ea
02:00:08: 99 23:c5:e8:c7:63:cc c00f01015a0e144658eeea169000353300
02:00:08: 101 1b:75:1f:c4:f9:2d c00f01015add11c579ebc403de00343000
02:00:09: 103 42:e6:b4:c5:35:33 0f1101f351a7144d886a248cf52098950dc327
02:00:09: 104 0e:45:94:4f:94:1d c00f010150dc4fa67963c246c400353300
02:00:09: 105 2e:0e:60:87:5b:1d c00f010150bb1cd5b8e3ea138800353300
